# Program:featureCounts v1.5.1; Command:"featureCounts" "-T" "24" "-s" "2" "-S" "fr" "-p" "-B" "-C" "-P" "-d" "40" "-D" "4000" "-t" "gene" "-g" "gene_id" "-a" "/opt/ngs_indexes/models/mm/mm10/gencode.vM14.annotation.gtf" "-o" "merged_counts/cytoplasmic.Naive.b1/all/all_counts.txt" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam" 
Geneid	Chr	Start	End	Strand	Length	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam
ENSMUSG00000076230.1	chr2	156410929	156411024	-	96	0	0	0	0	0	0	0	0
ENSMUSG00000027624.17	chr2	156420909	156543214	+	122306	3925	5946	3958	3459	5125	8079	3131	2567
ENSMUSG00000086872.1	chr2	156445033	156447608	-	2576	0	0	0	0	0	0	0	0
ENSMUSG00000085524.1	chr2	156451906	156455651	-	3746	0	0	0	1	0	0	0	0
ENSMUSG00000027628.10	chr2	156547584	156568972	+	21389	738	981	733	575	896	1241	555	576
ENSMUSG00000055494.5	chr2	156571792	156577457	+	5666	13	7	5	10	13	14	7	8
ENSMUSG00000086118.1	chr2	156609206	156613422	-	4217	0	0	0	0	0	0	0	0
ENSMUSG00000061689.15	chr2	156613705	156764363	+	150659	1648	2473	1588	1533	2428	4541	2154	2706
ENSMUSG00000087508.1	chr2	156614447	156615448	-	1002	0	0	0	0	0	0	0	0
ENSMUSG00000083498.1	chr2	156632825	156633468	-	644	0	0	0	0	0	0	0	0
ENSMUSG00000086638.7	chr2	156714540	156720909	-	6370	10	30	29	27	22	39	15	39
ENSMUSG00000067818.6	chr2	156775420	156781658	+	6239	1	0	0	6	0	0	0	1
ENSMUSG00000082196.3	chr2	156789812	156790403	-	592	0	0	0	0	0	0	0	0
ENSMUSG00000087179.8	chr2	156833049	156839892	-	6844	0	0	0	0	0	0	0	0
ENSMUSG00000062175.13	chr2	156840007	156855570	+	15564	5	4	6	19	35	113	45	26
ENSMUSG00000085741.8	chr2	156844351	156862963	-	18613	57	171	58	41	44	61	23	159
ENSMUSG00000102323.1	chr2	156846370	156849715	-	3346	0	0	0	0	0	0	0	0
ENSMUSG00000074629.2	chr2	156856616	156857946	-	1331	0	0	0	0	0	0	0	0
ENSMUSG00000098755.1	chr2	156860305	156860550	+	246	0	0	0	0	0	0	0	0
ENSMUSG00000027637.3	chr2	156863128	156873563	+	10436	1399	1725	1505	1132	1861	3084	1312	1296
ENSMUSG00000027636.11	chr2	156872457	156887192	-	14736	6	5	4	3	6	14	5	1
ENSMUSG00000080880.1	chr2	156888854	156915383	-	26530	0	0	0	0	0	0	0	0
ENSMUSG00000083831.1	chr2	156889464	156890007	+	544	0	0	0	0	0	0	0	0
ENSMUSG00000081616.1	chr2	156892882	156893118	-	237	0	0	0	0	0	0	0	0
ENSMUSG00000027634.14	chr2	156927345	156992056	-	64712	781	1031	844	616	1058	1689	725	599
ENSMUSG00000098750.1	chr2	156964158	156964293	-	136	0	0	0	0	0	0	0	0
ENSMUSG00000082163.2	chr2	156994173	156994892	-	720	20	16	10	12	16	36	21	11
ENSMUSG00000027635.15	chr2	156995265	157007154	-	11890	68	85	57	60	122	186	111	66
ENSMUSG00000055485.6	chr2	157015799	157079254	-	63456	2007	2867	2192	1788	2703	4376	2039	1857
ENSMUSG00000074628.9	chr2	157087055	157096482	+	9428	0	0	1	0	0	0	0	1
ENSMUSG00000027639.16	chr2	157097533	157135265	-	37733	10159	12567	9751	8517	13938	22074	9529	17729
ENSMUSG00000027641.13	chr2	157145893	157204534	-	58642	633	821	675	485	866	1297	591	1226
ENSMUSG00000084113.1	chr2	157168820	157169179	+	360	0	1	0	0	0	5	0	0
ENSMUSG00000074627.11	chr2	157208550	157279549	-	71000	0	5	1	0	1	1	2	2
ENSMUSG00000027642.15	chr2	157279017	157326319	+	47303	2249	2609	2280	2013	3298	5968	2284	2154
ENSMUSG00000027643.9	chr2	157329497	157347506	-	18010	0	0	0	0	0	0	0	0
ENSMUSG00000063019.5	chr2	157367594	157396763	+	29170	429	627	467	479	639	1445	658	837
ENSMUSG00000027646.15	chr2	157418444	157471862	+	53419	108	175	212	229	250	1578	1582	3079
ENSMUSG00000081740.3	chr2	157521697	157522028	-	332	2	0	0	0	0	0	0	0
ENSMUSG00000082329.1	chr2	157528869	157528985	-	117	1	0	0	0	0	1	0	0
ENSMUSG00000087445.1	chr2	157544266	157545469	-	1204	1	12	6	4	9	14	3	12
ENSMUSG00000067787.10	chr2	157556362	157571274	-	14913	747	1142	861	637	1053	2288	1479	1375
ENSMUSG00000067786.16	chr2	157560078	157562522	+	2445	0	0	0	3	0	0	0	0
ENSMUSG00000077990.1	chr2	157562361	157562447	-	87	0	0	0	0	0	0	0	0
ENSMUSG00000087547.1	chr2	157595583	157597320	-	1738	2	3	1	0	3	4	0	1
ENSMUSG00000077290.1	chr2	157713668	157713801	-	134	0	0	0	0	0	0	0	0
ENSMUSG00000084417.1	chr2	157726000	157726098	+	99	0	0	0	0	0	0	0	0
ENSMUSG00000027649.15	chr2	157737401	157891614	+	154214	270	673	321	348	340	611	222	328
ENSMUSG00000062846.7	chr2	157901536	157902012	+	477	4	3	2	1	7	19	7	7
ENSMUSG00000037843.6	chr2	157914653	157944719	+	30067	0	0	0	0	0	0	0	0
ENSMUSG00000027650.12	chr2	157981803	158028433	-	46631	493	806	543	438	742	989	380	304
ENSMUSG00000027651.16	chr2	158028497	158132297	+	103801	433	710	466	335	671	1012	380	364
ENSMUSG00000100860.1	chr2	158070367	158091797	-	21431	1	2	1	0	0	1	0	0
ENSMUSG00000037820.15	chr2	158116402	158146436	-	30035	3544	5012	5645	6954	10539	29473	16769	16162
ENSMUSG00000092283.1	chr2	158117154	158117905	+	752	0	0	0	0	0	0	0	0
ENSMUSG00000037813.13	chr2	158182533	158229222	-	46690	0	1	0	1	0	0	0	0
ENSMUSG00000078957.3	chr2	158192008	158195749	+	3742	0	0	0	0	0	0	0	0
ENSMUSG00000098765.1	chr2	158243504	158243565	-	62	0	0	0	0	0	0	0	0
ENSMUSG00000052922.9	chr2	158258094	158284531	+	26438	0	0	0	0	1	0	0	0
ENSMUSG00000016024.9	chr2	158306493	158332852	+	26360	30	21	28	23	34	34	13	22
ENSMUSG00000085385.7	chr2	158353700	158361580	-	7881	77	137	73	43	34	91	46	58
ENSMUSG00000065362.1	chr2	158356424	158356554	-	131	0	0	0	0	0	0	0	0
ENSMUSG00000064995.1	chr2	158358360	158358472	-	113	0	0	0	0	0	0	0	0
ENSMUSG00000100992.1	chr2	158359797	158359928	-	132	0	0	0	0	0	0	0	0
ENSMUSG00000064405.1	chr2	158359798	158359929	-	132	0	0	0	0	0	0	0	0
ENSMUSG00000044349.15	chr2	158375638	158386145	+	10508	1	1	1	4	1	6	0	1
ENSMUSG00000065840.1	chr2	158378222	158378354	+	133	0	0	0	0	0	0	0	0
ENSMUSG00000064585.1	chr2	158379534	158379666	+	133	0	0	0	0	0	0	0	0
ENSMUSG00000083168.1	chr2	158402727	158403015	-	289	0	0	0	0	0	0	0	0
ENSMUSG00000083715.1	chr2	158406508	158406818	-	311	0	0	0	0	0	0	0	0
ENSMUSG00000027652.15	chr2	158409848	158499253	+	89406	2432	3429	2438	2051	3188	5258	2251	2135
ENSMUSG00000081800.3	chr2	158468169	158468360	-	192	0	1	0	1	0	0	0	1
ENSMUSG00000084644.1	chr2	158487602	158487687	+	86	0	0	0	0	0	0	0	0
ENSMUSG00000044405.4	chr2	158502612	158508198	+	5587	0	4	2	5	2	1	0	1
ENSMUSG00000074625.10	chr2	158512796	158550762	+	37967	0	0	0	0	0	0	0	5
ENSMUSG00000086496.1	chr2	158595472	158610723	-	15252	3	5	3	2	2	2	0	0
ENSMUSG00000037771.11	chr2	158610767	158615748	+	4982	70	63	56	47	52	82	22	51
ENSMUSG00000087563.1	chr2	158610910	158611820	-	911	0	0	0	0	0	1	0	0
ENSMUSG00000037761.16	chr2	158624888	158639211	+	14324	133	204	151	129	153	256	85	95
ENSMUSG00000093120.1	chr2	158638583	158638640	+	58	0	0	0	0	0	0	0	0
ENSMUSG00000037754.13	chr2	158665398	158766334	+	100937	7	2	5	6	4	16	4	11
ENSMUSG00000093040.1	chr2	158740138	158740263	+	126	0	0	0	0	0	0	0	0
ENSMUSG00000027654.2	chr2	158768093	158786637	+	18545	7	14	8	9	20	18	3	6
ENSMUSG00000027655.14	chr2	158794807	158858214	+	63408	208	322	224	182	249	446	138	265
ENSMUSG00000104628.1	chr2	159069863	159069955	+	93	0	0	0	0	0	0	0	0
ENSMUSG00000077188.1	chr2	159139361	159139492	+	132	0	0	0	0	0	0	0	0
ENSMUSG00000083913.1	chr2	159456170	159456457	-	288	0	0	0	0	0	0	0	0
ENSMUSG00000083451.1	chr2	159777676	159778207	-	532	0	0	0	0	0	0	0	0
ENSMUSG00000081215.1	chr2	159858425	159859290	-	866	0	0	0	0	0	0	0	0
ENSMUSG00000086558.1	chr2	159911773	159947376	-	35604	0	0	0	0	0	0	0	0
ENSMUSG00000085198.1	chr2	159947341	159981288	+	33948	0	0	0	0	0	0	0	0
ENSMUSG00000083329.1	chr2	159978274	159978722	+	449	0	0	0	0	0	0	0	0
ENSMUSG00000086653.1	chr2	160016653	160040619	+	23967	0	0	0	0	0	0	0	0
ENSMUSG00000074623.4	chr2	160311393	160334162	-	22770	3	3	3	5	8	6	1	4
ENSMUSG00000074622.4	chr2	160363703	160367065	-	3363	4154	5738	5073	4231	5638	7130	1825	1092
ENSMUSG00000078956.3	chr2	160568379	160619971	-	51593	37	48	43	66	78	320	212	123
ENSMUSG00000078955.3	chr2	160583357	160585191	+	1835	0	0	0	0	0	0	0	0
ENSMUSG00000094247.1	chr2	160624468	160624592	+	125	0	0	0	0	0	0	0	0
ENSMUSG00000070544.6	chr2	160645888	160722764	+	76877	1945	2842	2465	2925	4199	12884	7719	7739
ENSMUSG00000016933.17	chr2	160731300	160775760	+	44461	353	531	375	319	541	750	380	288
ENSMUSG00000098889.1	chr2	160743927	160751909	-	7983	1	0	0	1	0	0	1	0
ENSMUSG00000035877.17	chr2	160748708	160872998	-	124291	695	928	762	654	1011	1505	632	567
ENSMUSG00000085303.3	chr2	160840836	160888028	-	47193	0	0	0	0	0	0	0	0
ENSMUSG00000081854.1	chr2	160845613	160846470	+	858	0	0	0	0	0	0	0	0
ENSMUSG00000027412.12	chr2	160880670	160906002	+	25333	0	1	2	2	0	1	0	0
ENSMUSG00000050700.11	chr2	160906437	160912328	-	5892	0	0	0	0	0	0	0	0
ENSMUSG00000087147.1	chr2	160925541	160926648	-	1108	0	0	0	0	0	0	0	0
ENSMUSG00000057133.14	chr2	160946978	161109075	-	162098	962	1878	1107	1102	1484	2498	1076	1185
ENSMUSG00000077795.1	chr2	160996777	160996901	+	125	0	0	0	0	0	0	0	0
ENSMUSG00000109780.1	chr2	161109411	161114858	+	5448	1	1	1	0	0	0	0	1
ENSMUSG00000067745.4	chr2	161179064	161216577	+	37514	0	0	0	0	0	0	0	0
ENSMUSG00000085469.1	chr2	161206689	161207280	-	592	0	0	0	0	0	0	0	0
ENSMUSG00000081099.2	chr2	161254456	161255457	-	1002	0	0	0	0	0	0	0	0
ENSMUSG00000081151.1	chr2	161287220	161287669	+	450	0	0	0	0	0	0	0	0
ENSMUSG00000087031.1	chr2	161331314	161332253	+	940	0	0	0	0	0	0	0	0
ENSMUSG00000083374.1	chr2	161482563	161483038	-	476	0	0	0	0	0	0	2	1
ENSMUSG00000100943.1	chr2	161513690	161514012	-	323	0	0	0	0	0	0	0	0
ENSMUSG00000053141.16	chr2	161521990	162661147	-	1139158	0	0	0	0	0	2	1	0
ENSMUSG00000084919.1	chr2	162390813	162393945	+	3133	0	0	0	0	0	0	0	0
ENSMUSG00000054457.5	chr2	162661163	162667109	+	5947	0	0	0	0	0	0	0	0
ENSMUSG00000087536.1	chr2	162679455	162680529	+	1075	0	0	0	0	0	0	0	0
ENSMUSG00000077143.1	chr2	162757309	162757434	+	126	0	0	0	0	0	0	0	0
ENSMUSG00000082296.1	chr2	162805590	162805922	+	333	0	0	0	0	0	0	0	0
ENSMUSG00000088064.1	chr2	162816311	162816468	-	158	0	0	0	0	0	0	0	0
ENSMUSG00000086030.1	chr2	162867079	162868194	-	1116	0	0	0	0	0	0	0	0
ENSMUSG00000083567.3	chr2	162898894	162899523	-	630	1	2	2	1	0	1	3	1
ENSMUSG00000082514.1	chr2	162907924	162908613	+	690	0	0	0	0	0	0	0	0
ENSMUSG00000016921.14	chr2	162931528	162937121	+	5594	1876	2415	2078	1697	2888	4997	2652	2473
ENSMUSG00000035576.13	chr2	162943472	162974522	+	31051	0	0	0	1	1	0	0	15
ENSMUSG00000080962.1	chr2	162982255	162983261	-	1007	0	0	0	0	0	0	0	0
ENSMUSG00000017868.16	chr2	162987330	163014127	+	26798	0	1	0	0	0	1	0	0
ENSMUSG00000017858.12	chr2	163017354	163046141	+	28788	541	704	499	355	732	1160	531	458
ENSMUSG00000017861.11	chr2	163054687	163084688	+	30002	15	35	21	16	21	42	20	15
ENSMUSG00000099091.1	chr2	163068090	163068155	+	66	0	0	0	0	0	0	0	0
ENSMUSG00000070708.5	chr2	163087034	163087855	-	822	0	0	0	0	0	0	0	0
ENSMUSG00000096635.1	chr2	163092899	163093023	+	125	0	0	0	0	0	0	0	0
ENSMUSG00000086152.1	chr2	163122606	163143959	+	21354	0	0	0	0	0	1	0	0
ENSMUSG00000086036.1	chr2	163152895	163156106	-	3212	0	0	0	0	0	0	0	0
ENSMUSG00000074607.11	chr2	163203125	163324170	+	121046	227	393	269	200	348	513	247	190
ENSMUSG00000017817.11	chr2	163336242	163397993	-	61752	0	0	2	0	1	0	0	7
ENSMUSG00000035399.12	chr2	163405822	163424697	-	18876	200	302	212	167	245	493	200	314
ENSMUSG00000099632.1	chr2	163419795	163420361	+	567	13	26	12	12	10	15	7	8
ENSMUSG00000017943.15	chr2	163438476	163455324	+	16849	9	14	6	3	8	15	6	4
ENSMUSG00000048486.6	chr2	163466379	163472629	-	6251	142	183	135	116	145	216	57	41
ENSMUSG00000053353.5	chr2	163471957	163473005	+	1049	0	0	0	1	0	0	0	0
ENSMUSG00000078949.2	chr2	163492318	163502612	+	10295	0	0	0	0	0	0	0	0
ENSMUSG00000046840.16	chr2	163493807	163541720	-	47914	0	0	0	0	1	0	0	0
ENSMUSG00000017950.16	chr2	163506808	163572910	+	66103	0	0	0	0	0	0	0	0
ENSMUSG00000088408.1	chr2	163514516	163514618	+	103	0	0	0	0	0	0	0	0
ENSMUSG00000017679.16	chr2	163602314	163619013	+	16700	770	1005	916	869	1257	2906	1586	1494
ENSMUSG00000017707.9	chr2	163623272	163645131	-	21860	19173	26085	18526	16130	32080	44341	20855	18085
ENSMUSG00000058812.2	chr2	163644850	163645801	+	952	0	4	5	1	0	2	4	2
ENSMUSG00000035268.14	chr2	163658386	163726158	+	67773	464	753	453	372	525	837	395	487
ENSMUSG00000087129.1	chr2	163685004	163692279	-	7276	0	0	0	0	1	2	0	0
ENSMUSG00000017697.3	chr2	163726584	163750239	-	23656	50	67	64	35	78	113	58	37
ENSMUSG00000027656.7	chr2	163820861	163833146	+	12286	0	0	0	7	0	0	0	0
ENSMUSG00000035238.4	chr2	163853651	163859746	+	6096	0	0	0	0	0	0	0	0
ENSMUSG00000035226.5	chr2	163859751	163918683	-	58933	0	0	0	0	0	0	0	0
ENSMUSG00000018326.9	chr2	163994960	164018588	+	23629	6176	7418	6704	5226	8362	13950	6614	5893
ENSMUSG00000054582.4	chr2	164025450	164050538	+	25089	2	4	2	3	6	3	3	3
ENSMUSG00000018322.10	chr2	164053540	164071169	-	17630	539	809	589	512	716	1243	555	513
ENSMUSG00000018209.15	chr2	164070322	164155524	+	85203	4839	6633	5123	4390	6693	12826	6746	7867
ENSMUSG00000085538.1	chr2	164135703	164140419	+	4717	0	0	0	0	0	0	0	0
ENSMUSG00000084446.1	chr2	164157404	164157521	-	118	0	0	0	0	0	0	0	0
ENSMUSG00000040164.3	chr2	164163619	164171113	-	7495	0	0	0	0	0	0	0	0
ENSMUSG00000040154.11	chr2	164176327	164182742	-	6416	0	0	0	0	0	0	0	0
ENSMUSG00000085649.7	chr2	164177584	164196564	+	18981	0	0	0	0	0	0	0	30
ENSMUSG00000042845.7	chr2	164189231	164190608	-	1378	0	0	0	0	0	0	0	0
ENSMUSG00000051769.2	chr2	164198863	164200130	-	1268	0	0	0	0	0	0	0	0
ENSMUSG00000018211.13	chr2	164214454	164221660	-	7207	0	0	0	0	0	0	0	0
ENSMUSG00000040132.6	chr2	164235929	164238466	-	2538	0	0	0	0	0	0	0	0
ENSMUSG00000050383.5	chr2	164254363	164256640	-	2278	0	0	0	0	0	0	0	0
ENSMUSG00000016998.2	chr2	164275952	164278459	-	2508	0	0	0	0	0	0	0	0
ENSMUSG00000017003.7	chr2	164289268	164291500	+	2233	0	0	0	0	0	0	0	0
ENSMUSG00000017000.2	chr2	164316751	164318453	+	1703	0	0	0	0	0	0	0	0
ENSMUSG00000017004.7	chr2	164332740	164334396	+	1657	0	0	0	0	0	0	0	0
ENSMUSG00000017002.14	chr2	164354070	164389095	-	35026	7	13	7	6	13	25	25	204
ENSMUSG00000098489.1	chr2	164354313	164354383	-	71	0	0	0	0	0	0	0	0
ENSMUSG00000016995.17	chr2	164389393	164405160	-	15768	0	1	0	6	5	2	5	93
ENSMUSG00000017007.9	chr2	164403141	164415448	+	12308	0	0	0	0	0	0	0	0
ENSMUSG00000017009.3	chr2	164424247	164443887	-	19641	5663	7544	12294	30331	56665	172045	125223	121452
ENSMUSG00000045503.16	chr2	164456964	164479638	+	22675	4	3	9	19	16	26	6	12
ENSMUSG00000085760.1	chr2	164459896	164460955	-	1060	2	3	2	2	2	4	0	2
ENSMUSG00000090996.1	chr2	164460967	164490760	+	29794	1	10	3	5	1	2	1	3
ENSMUSG00000017720.2	chr2	164470301	164473724	-	3424	0	0	0	0	0	0	0	0
ENSMUSG00000017734.15	chr2	164486106	164493319	+	7214	20	20	18	6	16	32	17	8
ENSMUSG00000017721.15	chr2	164497520	164508301	+	10782	1654	2346	1576	1279	2306	3400	1563	1359
ENSMUSG00000086179.1	chr2	164550530	164559730	+	9201	0	0	0	0	0	0	0	0
ENSMUSG00000017723.11	chr2	164562413	164568510	+	6098	0	0	0	0	0	0	0	0
ENSMUSG00000074596.3	chr2	164569695	164573459	-	3765	0	0	0	0	0	0	0	0
ENSMUSG00000074595.9	chr2	164579519	164585447	-	5929	0	0	0	0	0	0	0	0
ENSMUSG00000017733.4	chr2	164588343	164593594	-	5252	0	0	0	0	0	0	0	0
ENSMUSG00000070533.11	chr2	164596458	164613626	-	17169	0	0	0	0	0	0	0	0
ENSMUSG00000065797.1	chr2	164601936	164602042	+	107	0	0	0	0	0	0	0	0
ENSMUSG00000070531.4	chr2	164613522	164618212	+	4691	0	0	0	0	0	0	0	0
ENSMUSG00000077671.1	chr2	164621922	164622052	+	131	0	0	0	0	0	0	0	0
ENSMUSG00000070530.5	chr2	164634707	164638796	-	4090	0	0	0	0	0	0	0	0
ENSMUSG00000083740.1	chr2	164642945	164643200	-	256	0	0	0	0	0	0	0	0
ENSMUSG00000074594.9	chr2	164649631	164656583	-	6953	0	1	0	0	0	0	0	0
ENSMUSG00000070529.7	chr2	164656046	164657368	+	1323	0	0	0	0	0	0	0	0
ENSMUSG00000078940.8	chr2	164662894	164674087	-	11194	0	0	0	0	0	0	0	0
ENSMUSG00000067704.1	chr2	164685107	164687706	+	2600	0	0	0	0	0	0	0	0
ENSMUSG00000017310.7	chr2	164698501	164702453	+	3953	0	0	0	0	0	0	0	0
ENSMUSG00000074593.11	chr2	164715305	164718068	+	2764	0	0	0	0	0	0	0	0
ENSMUSG00000076434.9	chr2	164731180	164745931	-	14752	1	1	0	0	1	2	0	1
ENSMUSG00000017299.13	chr2	164745983	164768607	+	22625	214	370	211	229	299	613	219	272
ENSMUSG00000086453.7	chr2	164754242	164769666	-	15425	2	3	4	0	3	5	1	2
ENSMUSG00000088226.1	chr2	164761659	164761974	+	316	0	0	0	0	0	0	0	0
ENSMUSG00000001403.13	chr2	164769898	164778822	+	8925	55	100	24	29	134	145	136	40
ENSMUSG00000017300.9	chr2	164777161	164779967	-	2807	0	0	0	0	0	1	0	0
ENSMUSG00000050373.13	chr2	164785823	164793816	+	7994	167	220	161	132	187	282	90	74
ENSMUSG00000017307.15	chr2	164792768	164804882	-	12115	133	251	147	120	176	277	124	190
ENSMUSG00000045822.4	chr2	164805098	164822130	+	17033	116	178	135	85	91	50	30	50
ENSMUSG00000017764.2	chr2	164822686	164826871	+	4186	184	242	184	107	170	152	63	68
ENSMUSG00000017767.3	chr2	164826389	164828537	-	2149	6	38	17	24	27	32	16	23
ENSMUSG00000039873.4	chr2	164830732	164833456	-	2725	178	255	208	198	239	355	124	130
ENSMUSG00000017760.15	chr2	164832873	164841032	+	8160	28893	38689	29138	22598	38490	60500	30970	25820
ENSMUSG00000017754.13	chr2	164839518	164857711	-	18194	11985	16535	11840	10031	18819	26479	12847	11874
ENSMUSG00000039849.5	chr2	164879304	164894454	+	15151	1035	1380	972	821	1461	2066	1050	869
ENSMUSG00000039834.17	chr2	164891882	164911757	-	19876	424	684	419	357	625	910	513	497
ENSMUSG00000085436.1	chr2	164911354	164919953	+	8600	22	43	19	23	16	54	10	32
ENSMUSG00000017737.2	chr2	164940780	164955850	+	15071	12	39	15	23	65	57	46	27
ENSMUSG00000017740.17	chr2	164960802	164999731	+	38930	0	1	0	0	1	6	0	0
ENSMUSG00000039804.15	chr2	165000357	165034867	-	34511	595	948	678	573	1023	2307	1250	1644
ENSMUSG00000017652.16	chr2	165055627	165072948	+	17322	95	97	267	1675	1643	10808	6066	9688
ENSMUSG00000078935.1	chr2	165078693	165090750	-	12058	0	0	0	0	0	0	0	0
ENSMUSG00000053166.14	chr2	165111507	165234853	-	123347	0	2	0	0	0	1	0	0
ENSMUSG00000086630.1	chr2	165159412	165163969	+	4558	0	0	0	0	0	0	0	0
ENSMUSG00000087800.1	chr2	165270046	165270176	-	131	0	0	0	0	0	0	0	0
ENSMUSG00000017664.16	chr2	165276554	165287869	-	11316	928	1259	913	776	1124	1740	695	563
ENSMUSG00000017670.16	chr2	165288031	165326479	-	38449	1182	1612	1262	1007	1693	2457	899	828
ENSMUSG00000056824.15	chr2	165351297	165368729	-	17433	0	0	0	0	0	0	0	0
ENSMUSG00000017667.9	chr2	165374264	165388259	-	13996	3	7	4	6	7	3	0	3
ENSMUSG00000027670.4	chr2	165393760	165400405	-	6646	0	1	0	2	0	11	5	7
ENSMUSG00000018459.15	chr2	165405028	165473230	-	68203	11	15	16	11	11	51	14	27
ENSMUSG00000085358.1	chr2	165442264	165450485	+	8222	0	0	0	0	0	0	0	0
ENSMUSG00000039725.6	chr2	165490110	165493324	-	3215	202	239	201	123	161	416	367	330
ENSMUSG00000027661.4	chr2	165503787	165519917	+	16131	0	0	0	2	0	0	0	0
ENSMUSG00000017897.18	chr2	165595032	165771727	+	176696	0	1	0	0	0	1	0	0
ENSMUSG00000100796.1	chr2	165601463	165601787	-	325	0	0	0	0	0	0	0	0
ENSMUSG00000081758.1	chr2	165666497	165666857	-	361	0	0	0	0	0	0	0	0
ENSMUSG00000039671.18	chr2	165784152	165899016	-	114865	3545	5787	3775	3284	5030	7195	2357	1715
ENSMUSG00000085274.1	chr2	165857684	165859034	+	1351	1	0	0	0	0	0	0	0
ENSMUSG00000086820.1	chr2	165880025	165882056	+	2032	0	0	0	0	0	0	0	0
ENSMUSG00000092796.1	chr2	165908051	165908175	-	125	0	0	0	0	0	0	0	0
ENSMUSG00000083264.1	chr2	165925266	165925841	-	576	0	0	0	0	0	0	0	0
ENSMUSG00000082924.1	chr2	165959789	165960350	+	562	1	0	0	0	0	0	0	1
ENSMUSG00000084816.1	chr2	165976757	165985924	-	9168	0	0	0	0	0	0	0	0
ENSMUSG00000087351.1	chr2	165980726	165992517	-	11792	44	62	42	35	63	62	33	39
ENSMUSG00000027678.17	chr2	165992636	166073242	+	80607	7454	10924	7764	6648	10978	15745	5987	6751
ENSMUSG00000006800.13	chr2	166073089	166155663	-	82575	3840	5967	3845	3410	5755	8537	3984	3208
ENSMUSG00000088926.1	chr2	166189697	166189801	+	105	0	0	0	0	0	0	0	0
ENSMUSG00000085618.1	chr2	166189793	166190862	-	1070	0	0	0	0	0	0	0	0
ENSMUSG00000085046.1	chr2	166207230	166208627	-	1398	0	0	0	0	0	1	0	0
ENSMUSG00000084840.1	chr2	166273908	166294831	+	20924	1	0	0	0	1	0	3	0
ENSMUSG00000087617.1	chr2	166380828	166398187	-	17360	0	0	0	0	0	0	0	0
ENSMUSG00000085129.1	chr2	166447451	166459232	+	11782	337	395	282	261	382	401	169	94
ENSMUSG00000081123.1	chr2	166500273	166500768	-	496	0	0	0	0	0	0	2	1
ENSMUSG00000085682.1	chr2	166502101	166505584	-	3484	0	0	0	0	1	2	0	1
ENSMUSG00000039621.13	chr2	166566342	166713832	-	147491	5899	8927	6660	5754	7797	15000	6673	8551
ENSMUSG00000093063.1	chr2	166655027	166655142	-	116	0	0	0	0	0	0	0	0
ENSMUSG00000089145.1	chr2	166682074	166682420	+	347	0	0	0	0	0	0	0	0
ENSMUSG00000088063.1	chr2	166768745	166768847	+	103	0	0	0	0	0	0	0	0
ENSMUSG00000042854.9	chr2	166792531	166799505	+	6975	85	95	65	47	70	67	47	59
ENSMUSG00000074582.10	chr2	166805588	166898052	+	92465	4350	5917	4277	3665	5810	9408	3821	3539
ENSMUSG00000002718.14	chr2	166906040	166946389	+	40350	937	1236	984	776	1329	2079	961	856
ENSMUSG00000090397.1	chr2	166943539	166944308	+	770	0	0	0	0	0	0	0	0
ENSMUSG00000039536.16	chr2	166947549	166996299	-	48751	1610	2270	1627	1392	2178	3775	1854	2727
ENSMUSG00000082665.1	chr2	167007131	167009039	-	1909	0	0	0	0	0	1	0	0
ENSMUSG00000017999.16	chr2	167015193	167034947	+	19755	538	668	489	418	685	1224	504	440
ENSMUSG00000039501.14	chr2	167035793	167063015	-	27223	12926	15681	11983	9971	15177	26492	15153	18766
ENSMUSG00000074578.13	chr2	167062934	167065862	+	2929	309	378	273	286	466	718	311	561
