Geneid	Name	Chr	Strand	Main Isoforms	Disagree with Cufflinks Strongly	Annotations – TSS	Annotations – TES	Observed – TSS	Observed – TES
ENSMUSG00000034271.16	Jdp2	12	+	Unannotated – Different first exon				85598270	85639879
ENSMUSG00000034271.16	Jdp2	12	+	Shorter Isoform				85599483	85639565
ENSMUSG00000052837.6	Junb	8	-	ENSMUST00000064922.6		84978718	84976909	84978702	84977017
ENSMUSG00000098557.1	Kctd12	14	-	ENSMUST00000184744.1		102982637	102976580	102982624	102976640
ENSMUSG00000018476.7	Kdm6b	11	-	ENSMUST00000094077.4		69413675	69398507	69420341	69398520
ENSMUSG00000018476.7	Kdm6b	11	-	Unannotated – Similar to ENSMUST000000940774 but with an additional 1st exon				69420341	69398520
ENSMUSG00000018476.7	Kdm6b	11	-	Unannotated – Similar to ENSMUST000000940774 but with an different 1st exon				69409430	69398520
ENSMUSG00000000078.7	Klf6	13	+	ENSMUST00000000080.7		5861481	5870394	5861546	5870331
ENSMUSG00000025959.13	Klf7	1	-	ENSMUST00000114086.7		64121491	64029446	64121410	64029574
ENSMUSG00000055652.14	Klhl25	7	+	ENSMUST00000171155.3		75848309	75874131	75848446	75874124
ENSMUSG00000055652.14	Klhl25	7	+	ENSMUST00000092073.10		75848337	75874130	75848400	75874124
ENSMUSG00000055652.14	Klhl25	7	+	ENSMUST00000206019.1		75848340	75867491	75848446	75867510
ENSMUSG00000055652.14	Klhl25	7	+	ENSMUST00000205612.1	TRUE	75848363	75867487	?	75867510
ENSMUSG00000055652.14	Klhl25	7	+	Unannotated – Different 1st exon				75848067	75874124
ENSMUSG00000021929.8	Kpna3	14	-	ENSMUST00000022496.7		61439947	61365185	61439842	61365286
ENSMUSG00000002699.13	Lcp2	11	+	ENSMUST00000109329.8		34047167	34090224	34047158	34091237
ENSMUSG00000002699.13	Lcp2	11	+	ENSMUST00000052413.11	TRUE	34046919	34092295	34047158	?
ENSMUSG00000002699.13	Lcp2	11	+	Longer Isoform				34047158	34092318
ENSMUSG00000034394.14	Lif	11	+	ENSMUST00000066283.11		4257556	4272514	4266548	4272463
ENSMUSG00000034394.14	Lif	11	+	ENSMUST00000040750.3		4267094	4272514	?	4272463
ENSMUSG00000034394.14	Lif	11	+	ENSMUST00000154927.1	TRUE	4266795	4268249	?	?
ENSMUSG00000021997.4	Lrrc63	14	-	ENSMUST00000022574.4	TRUE	75130881	75084302	?	?
ENSMUSG00000021997.4	Lrrc63	14	-	Unannotated – Different 1st exon, skippink 2nd exon, Different last exon				75131609	75116173
ENSMUSG00000021997.4	Lrrc63	14	-	Unannotated – Different 1st exon, Different last exon				75131609	75116173
ENSMUSG00000029910.14	Mad2l1	6	+	ENSMUST00000116605.7		66535389	66547220	66535417	66547178
ENSMUSG00000029910.14	Mad2l1	6	+	ENSMUST00000125430.1		66535424	66541020	66535417	66541022
ENSMUSG00000029910.14	Mad2l1	6	+	ENSMUST00000101343.1		66535467	66540991	66535417	66541022
ENSMUSG00000029910.14	Mad2l1	6	+	Shorter Isoform				66535417	66541022
ENSMUSG00000042622.13	Maff	15	+	ENSMUST00000096350.9		79347540	79359072	79347557	79359079
ENSMUSG00000032688.7	Malt1	18	+	ENSMUST00000049248.5		65430962	65478823	65430994	65478817
ENSMUSG00000018932.9	Map2k3	11	+	ENSMUST00000019076.9		60932032	60952811	60932067	60952802
ENSMUSG00000028862.6	Map3k6	4	+	ENSMUST00000030677.6		133240817	133252929	133240786	133252928
ENSMUSG00000028862.6	Map3k6	4	+	ENSMUST00000134895.1	TRUE	133250848	133252928	?	133252928
ENSMUSG00000016528.10	Mapkapk2	1	-	ENSMUST00000016672.10		131097826	131053699	131097818	131053737
ENSMUSG00000047945.6	Marcksl1	4	+	ENSMUST00000062356.6		129513580	129515985	129513645	129515971
ENSMUSG00000020184.15	Mdm2	10	-	ENSMUST00000020408.15		117710758	117688874	117710700	117688951
ENSMUSG00000020184.15	Mdm2	10	-	Unannotated – Same start as ENSMUST00000137102.7 but same end as ENSMUST00000020408.15				117710104	117688951
ENSMUSG00000030291.12	Med21	6	+	ENSMUST00000032429.8		146642546	146650602	146642591	146650569
ENSMUSG00000022534.13	Mefv	16	-	ENSMUST00000100222.2		3718124	3707214	3718130	3707227
ENSMUSG00000022534.13	Mefv	16	-	ENSMUST00000023180.13		3718124	3707214	3718130	3707227
ENSMUSG00000022534.13	Mefv	16	-	Unannotated – Same as ENSMUST00000023180.13 but without the one before last exon 				3718130	3707227
ENSMUSG00000031004.8	Mki67	7	-	ENSMUST00000033310.8		135716361	135689783	135716367	135689785
ENSMUSG00000031004.8	Mki67	7	-	Unannotated – Same as ENSMUST00000033310.8 but skipping exon 6				135716367	135689785
ENSMUSG00000050578.10	Mmp13	9	+	ENSMUST00000015394.9		7272513	7283331	7272545	7283331
ENSMUSG00000000957.9	Mmp14	14	+	ENSMUST00000089688.5		54431611	54441265	54431619	54442128
ENSMUSG00000057440.7	Mpp7	18	-	ENSMUST00000115869.2		7626863	7347961	7626843	7348179
ENSMUSG00000039458.14	Mtmr12	15	+	ENSMUST00000038172.14		12205027	12272240	12205079	12272248
ENSMUSG00000039458.14	Mtmr12	15	+	ENSMUST00000174418.7		12205103	12272119	12205079	12272248
ENSMUSG00000039458.14	Mtmr12	15	+	Shorter Isoform				12205079	12271983
ENSMUSG00000039458.14	Mtmr12	15	+	Longer Isoform				12205079	12274452
ENSMUSG00000001156.9	Mxd1	6	-	ENSMUST00000001184.9		86669161	86647041	86669143	86647077
ENSMUSG00000001156.9	Mxd1	6	-	Shorter Isoform				86669143	86649011
ENSMUSG00000022346.15	Myc	15	+	ENSMUST00000159327.1		61985563	61990374	61985560	61990207
ENSMUSG00000022346.15	Myc	15	+	ENSMUST00000022971.7		61985390	61990350	61985560	61990207
ENSMUSG00000005125.12	Ndrg1	15	-	ENSMUST00000005256.12		66969640	66929320	66969630	66929345
ENSMUSG00000005125.12	Ndrg1	15	-	ENSMUST00000166420.7		66969639	66931076	66969630	66929345
ENSMUSG00000056749.7	Nfil3	13	-	ENSMUST00000071065.7		52981073	52967208	52981023	52967275
ENSMUSG00000028163.17	Nfkb1	3	-	ENSMUST00000029812.13		135691546	135584654	135691230	135584660
ENSMUSG00000028163.17	Nfkb1	3	-	ENSMUST00000132668.7		135608270	135584656	?	135584660
ENSMUSG00000028163.17	Nfkb1	3	-	ENSMUST00000164430.6		135667799	135585277	?	135584980
ENSMUSG00000028163.17	Nfkb1	3	-	Unannotated – Same as ENSMUST00000029812.13 with the same end as ENSMUST00000132668.7				135691230	135584820
ENSMUSG00000025225.14	Nfkb2	19	+	ENSMUST00000073116.11		46304736	46312090	46304743	46312024
ENSMUSG00000025225.14	Nfkb2	19	+	ENSMUST00000111881.2		46305694	46312090	46305744	46312024
ENSMUSG00000025225.14	Nfkb2	19	+	Longer Isoform				46304743	46315374
ENSMUSG00000021025.8	Nfkbia	12	-	ENSMUST00000021413.8		55492647	55489409	55492584	55489416
ENSMUSG00000030595.15	Nfkbib	7	-	ENSMUST00000085851.11		28766514	28759031	28766472	28759048
ENSMUSG00000030595.15	Nfkbib	7	-	ENSMUST00000032815.10		28766640	28758250	28766472	28758087
ENSMUSG00000036931.15	Nfkbid	7	+	ENSMUST00000108176.8		30421731	30428746	30421744	30428743
ENSMUSG00000036931.15	Nfkbid	7	+	ENSMUST00000046177.8	TRUE	30423274	30428746	?	30428743
ENSMUSG00000023947.7	Nfkbie	17	+	ENSMUST00000024742.7		45555715	45563169	45555716	45563155
ENSMUSG00000035356.16	Nfkbiz	16	-	ENSMUST00000114458.7		55822138	55811374	55822126	55811417
ENSMUSG00000035356.16	Nfkbiz	16	-	ENSMUST00000139373.1		55838899	55824665	55838646	55825277
ENSMUSG00000035356.16	Nfkbiz	16	-	ENSMUST00000114457.7		55838899	55811374	55838646	55811417
ENSMUSG00000032691.14	Nlrp3	11	+	ENSMUST00000079476.9		59541567	59566955	59541594	59566946
ENSMUSG00000032691.14	Nlrp3	11	+	ENSMUST00000101148.8		59542685	59566956	59542651	59566946
ENSMUSG00000032691.14	Nlrp3	11	+	Unannotated – Same as ENSMUST00000079476.9 but with different 1st exon				59541682	59566946
ENSMUSG00000032691.14	Nlrp3	11	+	Unannotated – Same as ENSMUST00000079476.9 but with different 1st exon				59541919	59566946
ENSMUSG00000032691.14	Nlrp3	11	+	Unannotated – Same as ENSMUST00000079476.9 but with different 1st exon				59542616	59566946
ENSMUSG00000032691.14	Nlrp3	11	+	Unannotated – Same as ENSMUST00000079476.9 but with different 1st exon				59542646	59566946
ENSMUSG00000023087.15	Noct	3	+	ENSMUST00000023849.14		51224446	51251644	51224549	51251629
ENSMUSG00000023087.15	Noct	3	+	ENSMUST00000193018.1		51243407	51249786	51243610	51251629
ENSMUSG00000023087.15	Noct	3	+	ENSMUST00000167780.1	TRUE	51224469	51251631	51224549	51251629
ENSMUSG00000023087.15	Noct	3	+	Longer Isoform				51223929	51251629
ENSMUSG00000029819.6	Npy	6	+	ENSMUST00000031843.6		49822709	49829507	49822778	49829501
ENSMUSG00000023034.6	Nr4a1	15	+	ENSMUST00000023779.6		101266845	101274792	101266857	101274785
ENSMUSG00000028341.9	Nr4a3	4	+	ENSMUST00000030025.9		48045152	48086445	48045262	48086450
ENSMUSG00000028341.9	Nr4a3	4	+	ENSMUST00000154186.1	TRUE	48045230	48050165	48045262	?
ENSMUSG00000028341.9	Nr4a3	4	+	ENSMUST00000153369.1	TRUE	48049113	48086447	?	48086450
ENSMUSG00000028341.9	Nr4a3	4	+	Unannotated – Combination of ENSMUST00000154186.1 and ENSMUST00000153369.1				48045262	48086450
ENSMUSG00000030717.9	Nupr1	7	-	ENSMUST00000032961.3		126625676	126623248	126625479	126623250
ENSMUSG00000030717.9	Nupr1	7	-	ENSMUST00000151105.7	TRUE	126626016	126624947	126625938	?
ENSMUSG00000030717.9	Nupr1	7	-	Unannotated – Same end as ENSMUST00000032961.3 with same start as ENSMUST00000151105.7				126625938	126623250
ENSMUSG00000011179.8	Odc1	12	+	ENSMUST00000171737.2		17544793	17551084	17544981	17550893
ENSMUSG00000011179.8	Odc1	12	+	ENSMUST00000220947.1	TRUE	17547249	17547985	?	?
ENSMUSG00000011179.8	Odc1	12	+	Longer Isoform				17544981	17551502
ENSMUSG00000030162.14	Olr1	6	-	ENSMUST00000032265.12		129507165	129485243	129507157	129485332
ENSMUSG00000039747.11	Orai2	5	-	ENSMUST00000041048.5		136170713	136147458	136170656	136147477
ENSMUSG00000039747.11	Orai2	5	-	ENSMUST00000197052.1		136170634	136150703	136170656	136147477
ENSMUSG00000039747.11	Orai2	5	-	ENSMUST00000198268.1	TRUE	136170633	136166305	136170656	?
ENSMUSG00000039747.11	Orai2	5	-	Longer Isoform				136171278	136147477
ENSMUSG00000032860.5	P2ry2	7	-	ENSMUST00000037540.4		101011998	100996567	101011990	100997046
ENSMUSG00000032860.5	P2ry2	7	-	ENSMUST00000178340.2		101011998	100997226	101011990	100997027
ENSMUSG00000032860.5	P2ry2	7	-	ENSMUST00000207916.1	TRUE	101011974	100997027	?	100997027
ENSMUSG00000032860.5	P2ry2	7	-	Longer Isoform				101011990	100991473
ENSMUSG00000028525.16	Pde4b	4	+	ENSMUST00000097950.8		102570094	102605847	102570536	102607254
ENSMUSG00000028525.16	Pde4b	4	+	ENSMUST00000106908.8	TRUE	102255002	102607259	?	102607254
ENSMUSG00000028583.14	Pdpn	4	-	ENSMUST00000030317.13		143299564	143267430	143299493	143267433
ENSMUSG00000020205.8	Phlda1	10	+	ENSMUST00000164773.1		111506285	111508645	111505559	111508622
ENSMUSG00000048537.16	Phldb1	9	-	ENSMUST00000134465.7		44728100	44686309	44728100	44686331
ENSMUSG00000048537.16	Phldb1	9	-	ENSMUST00000138356.7		44728079	44686307	?	44686331
ENSMUSG00000048537.16	Phldb1	9	-	ENSMUST00000156918.7	TRUE	44713265	44686307	?	44686331
ENSMUSG00000048537.16	Phldb1	9	-	ENSMUST00000123406.7	TRUE	44721424	44716123	44721439	?
ENSMUSG00000048537.16	Phldb1	9	-	Unannotated – Same as ENSMUST00000134465.7 but with the first exon of  ENSMUST00000034611.14 on top of the rest				44735218	44686331
ENSMUSG00000048537.16	Phldb1	9	-	Unannotated – Same start as ENSMUST00000123406.7 but with the end of ENSMUST00000134465.7				44721439	44686331
ENSMUSG00000024014.7	Pim1	17	+	ENSMUST00000024811.7		29490811	29496111	29490803	29496082
ENSMUSG00000021822.2	Plau	14	+	ENSMUST00000022368.2		20836661	20843388	20836669	20843195
ENSMUSG00000046223.10	Plaur	7	+	ENSMUST00000002284.10		24462483	24475967	24462496	24475946
ENSMUSG00000046223.10	Plaur	7	+	Shorter Isoform				24462496	24475657
ENSMUSG00000020120.15	Plek	11	-	ENSMUST00000102881.9		17008702	16971205	17008651	16971500
ENSMUSG00000020120.15	Plek	11	-	Longer Isoform				17008650	16970909
ENSMUSG00000032369.13	Plscr1	9	+	ENSMUST00000093801.9		92249749	92272278	92249762	92271754
ENSMUSG00000032369.13	Plscr1	9	+	ENSMUST00000186364.1	TRUE	92250341	92271975	?	92271754
ENSMUSG00000032369.13	Plscr1	9	+	Shorter Isoform				92250192	92271754
ENSMUSG00000040435.12	Ppp1r15a	7	-	ENSMUST00000042105.10		45526268	45522916	45526212	45522925
ENSMUSG00000040435.12	Ppp1r15a	7	-	ENSMUST00000211212.1	TRUE	45523769	45522915	?	45522925
ENSMUSG00000050271.12	Prag1	8	+	ENSMUST00000110492.1		36094827	36147787	36094856	36147770
ENSMUSG00000024953.16	Prdx5	19	-	ENSMUST00000025904.11		6910106	6906705	6910108	6906743
ENSMUSG00000024953.16	Prdx5	19	-	ENSMUST00000149261.7	TRUE	6908301	6906749	?	6906743
ENSMUSG00000024953.16	Prdx5	19	-	Shorter Isoform				6909624	6906743
ENSMUSG00000032841.15	Prr5l	2	-	ENSMUST00000171088.7		101797707	101714284	101797670	101714279
ENSMUSG00000032841.15	Prr5l	2	-	ENSMUST00000043845.13		101797708	101716240	101797670	101714279
ENSMUSG00000025429.8	Pstpip2	18	+	ENSMUST00000114741.2		77794544	77882007	77794567	77882936
ENSMUSG00000032487.8	Ptgs2	1	+	ENSMUST00000035065.8		150100030	150108227	150100115	150108158
ENSMUSG00000026064.15	Ptp4a1	1	-	ENSMUST00000027232.13		30949770	30940301	30949777	?
ENSMUSG00000026064.15	Ptp4a1	1	-	ENSMUST00000076587.4		30949757	30941579	30949777	?
ENSMUSG00000026064.15	Ptp4a1	1	-	ENSMUST00000202889.1	TRUE	30949587	30946543	?	?
ENSMUSG00000026064.15	Ptp4a1	1	-	Longer Isoform				30950086	?
ENSMUSG00000040511.14	Pvr	7	-	ENSMUST00000043517.7		19921160	19903577	19921101	19903587
ENSMUSG00000031488.14	Rab11fip1	8	-	ENSMUST00000033878.13		27174646	27141957	27174636	?
ENSMUSG00000031488.14	Rab11fip1	8	-	ENSMUST00000054212.6		27174646	27138772	27174636	?
ENSMUSG00000031488.14	Rab11fip1	8	-	ENSMUST00000209377.1		27174646	27143027	27174636	?
ENSMUSG00000031504.6	Rab20	8	-	ENSMUST00000033900.6		11478710	11453517	11478625	11453525
ENSMUSG00000025340.14	Rabgef1	5	+	ENSMUST00000119797.7		130171797	130214342	130171837	130214300
ENSMUSG00000025340.14	Rabgef1	5	+	ENSMUST00000148264.7	TRUE	130171823	130210442	130171837	?
ENSMUSG00000025340.14	Rabgef1	5	+	Unannotated – Same start as ENSMUST00000148264.7 but with the same end as ENSMUST00000119797.7				130171837	130214300
ENSMUSG00000089809.9	Rasgef1b	5	-	ENSMUST00000031276.14		99252927	99217425	99252833	99217427
ENSMUSG00000089809.9	Rasgef1b	5	-	ENSMUST00000168092.7		99252927	99217425	99252833	99217427
ENSMUSG00000020275.9	Rel	11	-	ENSMUST00000102864.4		23770970	23736846	23770963	23736862
ENSMUSG00000002983.17	Relb	7	-	ENSMUST00000094762.9		19629438	19606216	19629416	19606223
ENSMUSG00000002983.17	Relb	7	-	ENSMUST00000049912.14		19629438	19606216	19629416	19606223
ENSMUSG00000026358.13	Rgs1	1	-	ENSMUST00000189061.6		144249242	144242295	144249044	144244738
ENSMUSG00000026358.13	Rgs1	1	-	ENSMUST00000169409.2	TRUE	144249057	144244672	144249044	144244738
ENSMUSG00000026358.13	Rgs1	1	-	ENSMUST00000169042.1	TRUE	144249060	144247794	144249044	?
ENSMUSG00000041135.15	Ripk2	4	-	ENSMUST00000037035.11		16163647	16122732	16163519	16122746
ENSMUSG00000041135.15	Ripk2	4	-	Unannotated – Additional exon between 2 and 3				16163519	16122746
ENSMUSG00000041135.15	Ripk2	4	-	Shorter Isoform				16163519	16123417
ENSMUSG00000054855.13	Rnd1	15	-	ENSMUST00000003451.10		98677461	98669204	98677451	98669942
ENSMUSG00000017144.8	Rnd3	2	-	ENSMUST00000017288.8		51149111	51130437	51149098	51130627
ENSMUSG00000048234.13	Rnf149	1	-	ENSMUST00000062525.10		39577405	39551295	39577349	39551301
ENSMUSG00000048234.13	Rnf149	1	-	Shorter Isoform				39577349	39551915
ENSMUSG00000022280.8	Rnf19a	15	-	ENSMUST00000022890.8		36283147	36239933	36283136	36239961
ENSMUSG00000028793.15	Rnf19b	4	+	ENSMUST00000168461.7		129058270	129084526	129058151	129084519
ENSMUSG00000028793.15	Rnf19b	4	+	ENSMUST00000152565.7		129058408	129080549	129058151	129080486
ENSMUSG00000028793.15	Rnf19b	4	+	ENSMUST00000097874.8		129058813	129084526	129058151	129084519
ENSMUSG00000041959.14	S100a10	3	+	ENSMUST00000045756.13		93555079	93564643	93555134	93564625
ENSMUSG00000022876.17	Samsn1	16	-	ENSMUST00000114239.8		75909310	75858792	75909269	75858816
ENSMUSG00000017009.3	Sdc4	2	-	ENSMUST00000017153.3		164443186	164424246	164443174	164424265
ENSMUSG00000038806.7	Sde2	1	+	ENSMUST00000038091.7		180851126	180868113	180851159	180868034
ENSMUSG00000026582.6	Sele	1	+	ENSMUST00000027874.5		164048233	164057677	164048224	164058480
ENSMUSG00000058013.11	Sept11	5	+	ENSMUST00000074733.10		93093436	93174958	93093449	93174937
ENSMUSG00000058013.11	Sept11	5	+	ENSMUST00000201700.3		93093437	93169758	93093449	93170423
ENSMUSG00000037411.10	Serpine1	5	-	ENSMUST00000041388.10		137072259	137061503	137072262	137061507
ENSMUSG00000032261.16	Sh3bgrl2	9	+	ENSMUST00000113215.9		83548327	83601346	83548337	83601349
ENSMUSG00000032261.16	Sh3bgrl2	9	+	Shorter Isoform				83548337	83600290
ENSMUSG00000073758.10	Sh3d21	4	-	ENSMUST00000094760.8		126162626	126150601	126162617	126150607
ENSMUSG00000073758.10	Sh3d21	4	-	ENSMUST00000097891.3		126163491	126150601	?	126150607
ENSMUSG00000073758.10	Sh3d21	4	-	Unannotated – Similar to ENSMUST00000094760.8 but skipping one before last exon				126162617	126150607
ENSMUSG00000027660.16	Skil	3	+	ENSMUST00000118470.7		31095057	31122573	31094878	31122576
ENSMUSG00000027660.16	Skil	3	+	ENSMUST00000144756.7	TRUE	31095060	31101393	31094878	?
ENSMUSG00000027660.16	Skil	3	+	ENSMUST00000029194.11		31095060	31122577	31094878	31122576
ENSMUSG00000019838.11	Slc16a10	10	-	ENSMUST00000092566.7		40142254	40033531	40142248	40033535
ENSMUSG00000019838.11	Slc16a10	10	-	ENSMUST00000213488.1		40142255	40075390	40142248	40075785
ENSMUSG00000019838.11	Slc16a10	10	-	Unannotated – Different 2nd and final exon				40142248	40117365
ENSMUSG00000036067.12	Slc2a6	2	-	ENSMUST00000045702.5		27027998	27021362	27027935	27021366
ENSMUSG00000028412.17	Slc44a1	4	+	ENSMUST00000107651.8		53440670	53567818	53440415	53567769
ENSMUSG00000028412.17	Slc44a1	4	+	ENSMUST00000102911.9		53440412	53622478	53440415	53622472
ENSMUSG00000031596.15	Slc7a2	8	+	ENSMUST00000057784.14	TRUE	40862411	40922308	40862407	40922049
ENSMUSG00000031596.15	Slc7a2	8	+	ENSMUST00000098816.9		40862395	40918056	40862407	40922049
ENSMUSG00000031596.15	Slc7a2	8	+	ENSMUST00000141505.1	TRUE	40862577	40898982	40862407	?
ENSMUSG00000031596.15	Slc7a2	8	+	ENSMUST00000117077.7	TRUE	40874947	40922070	?	40922049
ENSMUSG00000038059.6	Smim3	18	-	ENSMUST00000042710.6		60501983	60474192	60501628	60474236
ENSMUSG00000038059.6	Smim3	18	-	Unannotated – Additional exon between 2 and 3				60501628	60474236
ENSMUSG00000042364.10	Snx18	13	-	ENSMUST00000109241.3		113618564	113592179	113618546	113592187
ENSMUSG00000053113.3	Socs3	11	-	ENSMUST00000054002.3		117969186	117966078	117969172	117966101
ENSMUSG00000006818.4	Sod2	17	+	ENSMUST00000007012.4		13007838	13018119	13007852	13017725
ENSMUSG00000006818.4	Sod2	17	+	Shorter Isoform				?	13015357
ENSMUSG00000098188.1	Sowahc	10	+	ENSMUST00000182161.1		59221952	59226434	59221962	59226431
ENSMUSG00000061878.15	Sphk1	11	+	ENSMUST00000100201.9		116531910	116536670	116531863	116536662
ENSMUSG00000061878.15	Sphk1	11	+	ENSMUST00000106387.8		116531743	116536657	116531863	116536662
ENSMUSG00000061878.15	Sphk1	11	+	ENSMUST00000106386.7		116532443	116536674	116532471	116536662
ENSMUSG00000061878.15	Sphk1	11	+	ENSMUST00000141798.2	TRUE	116534739	116536670	?	116536662
ENSMUSG00000029304.14	Spp1	5	+	ENSMUST00000031243.14		104435117	104441050	104435133	104441041
ENSMUSG00000027351.14	Spred1	2	+	ENSMUST00000028829.12		117121373	117182279	117120759	117182265
ENSMUSG00000021930.14	Spryd7	14	-	ENSMUST00000022497.14		61556886	61531992	61556726	61531849
ENSMUSG00000021930.14	Spryd7	14	-	ENSMUST00000100496.4	TRUE	61556758	61534304	61556726	61534375
ENSMUSG00000021930.14	Spryd7	14	-	Shorter Isoform				61556726	61533895
ENSMUSG00000021930.14	Spryd7	14	-	Shorter Isoform				61556726	61534375
ENSMUSG00000021930.14	Spryd7	14	-	Shorter Isoform				61556726	61534968
ENSMUSG00000015837.15	Sqstm1	11	-	ENSMUST00000102774.10		50210827	50200151	50210780	50200168
ENSMUSG00000015837.15	Sqstm1	11	-	ENSMUST00000015981.11		50210791	50199365	50210780	50200168
ENSMUSG00000006050.11	Sra1	18	-	ENSMUST00000173875.7		36671196	36666680	36670279	36667259
ENSMUSG00000006050.11	Sra1	18	-	ENSMUST00000001415.7		36679366	36671159	36679418	36671159
ENSMUSG00000006050.11	Sra1	18	-	ENSMUST00000173482.7	TRUE	36670286	36667245	36670279	36667259
ENSMUSG00000006050.11	Sra1	18	-	ENSMUST00000006209.4	TRUE	36670285	36667428	36670279	36667259
ENSMUSG00000006050.11	Sra1	18	-	Shorter Isoform				36670279	36667493
ENSMUSG00000027646.15	Src	2	+	ENSMUST00000029175.13		157424279	157471862	157424262	157471835
ENSMUSG00000027646.15	Src	2	+	ENSMUST00000109531.7		157455670	157471838	157455698	157471835
ENSMUSG00000027646.15	Src	2	+	Unannotated – Different first exon				157403145	157471835
ENSMUSG00000020077.14	Srgn	10	-	ENSMUST00000020271.12		62507755	62494427	62507739	62494433
ENSMUSG00000020077.14	Srgn	10	-	ENSMUST00000160987.7	TRUE	62527451	62493832	?	62494433
ENSMUSG00000042608.15	Stk40	4	+	ENSMUST00000094761.10		126103971	126141029	126103981	126141027
ENSMUSG00000042608.15	Stk40	4	+	ENSMUST00000139524.1		126104000	126125111	126103981	126125145
ENSMUSG00000042608.15	Stk40	4	+	ENSMUST00000139188.1		126118271	126128968	126118274	126128943
ENSMUSG00000042608.15	Stk40	4	+	Unannotated – Same start as ENSMUST00000134369.1 (first 2 exons) but with the end of ENSMUST00000094761.10				126128819	126141027
ENSMUSG00000039232.12	Stx11	10	-	ENSMUST00000042861.6		12964262	12938208	12964462	12938212
ENSMUSG00000039232.12	Stx11	10	-	ENSMUST00000219727.1		12964258	12941827	12964462	12940043
ENSMUSG00000039232.12	Stx11	10	-	ENSMUST00000163425.8		12964259	12938211	12964462	12938212
ENSMUSG00000039232.12	Stx11	10	-	ENSMUST00000218685.1		12964298	12941726	12964462	12940043
ENSMUSG00000039232.12	Stx11	10	-	Shorter Isoform				12964462	12940043
ENSMUSG00000026470.14	Stx6	1	+	ENSMUST00000027743.12		155158714	155205659	155158712	155205654
ENSMUSG00000026470.14	Stx6	1	+	ENSMUST00000193059.5	TRUE	155158718	155201944	155158712	?
ENSMUSG00000026470.14	Stx6	1	+	Shorter Isoform				155158712	155203495
ENSMUSG00000033450.7	Tagap	17	+	ENSMUST00000036370.7		7925999	7934897	7926012	7934902
ENSMUSG00000026547.15	Tagln2	1	+	ENSMUST00000111230.7		172500046	172507380	172500292	172507378
ENSMUSG00000064289.15	Tank	2	+	ENSMUST00000112502.7		61578584	61654171	61578553	61654162
ENSMUSG00000064289.15	Tank	2	+	ENSMUST00000078074.8		61578585	61654171	61578553	61654162
ENSMUSG00000064289.15	Tank	2	+	ENSMUST00000112495.7		61593076	61654171	61593113	61654162
ENSMUSG00000064289.15	Tank	2	+	ENSMUST00000112501.8		61593096	61654171	61593166	61654162
ENSMUSG00000064289.15	Tank	2	+	ENSMUST00000112494.1	TRUE	61593135	61651799	61593113	?
ENSMUSG00000064289.15	Tank	2	+	Shorter Isoform				61653552	61653638
ENSMUSG00000029553.10	Tfec	6	-	ENSMUST00000031533.10		16898441	16833372	16898352	16833493
ENSMUSG00000037820.15	Tgm2	2	-	ENSMUST00000103122.9		158146436	158116401	158146356	158116423
ENSMUSG00000040152.8	Thbs1	2	+	ENSMUST00000039559.8		118111875	118127133	118111906	118127123
ENSMUSG00000040152.8	Thbs1	2	+	Unannotated – Shorter exon 5				118111906	118127040
ENSMUSG00000027995.10	Tlr2	3	-	ENSMUST00000029623.10		83841767	83836271	83841570	83836275
ENSMUSG00000070720.3	Tmem200b	4	+	ENSMUST00000094666.3		131921770	131923140	131921898	131923955
ENSMUSG00000070720.3	Tmem200b	4	+	Unannotated – Additional exon as start				131920928	131923955
ENSMUSG00000002845.14	Tmem39a	16	+	ENSMUST00000002924.14		38562811	38592162	38562844	38591277
ENSMUSG00000002845.14	Tmem39a	16	+	ENSMUST00000163884.7	TRUE	38558697	38591190	?	38591277
ENSMUSG00000002845.14	Tmem39a	16	+	ENSMUST00000163948.7	TRUE	38562860	38586257	38562844	?
ENSMUSG00000002845.14	Tmem39a	16	+	ENSMUST00000166235.1	TRUE	38562885	38573190	38562844	?
ENSMUSG00000002845.14	Tmem39a	16	+	Unannotated – Additional exon between 4 and 5				38562844	38591381
ENSMUSG00000024401.14	Tnf	17	-	ENSMUST00000025263.14		35202007	35199380	35201991	35199383
ENSMUSG00000021281.15	Tnfaip2	12	+	ENSMUST00000102745.9		111442468	111455018	111442672	111454963
ENSMUSG00000019850.11	Tnfaip3	10	-	ENSMUST00000019997.10		19015410	19000909	19015356	19001130
ENSMUSG00000028599.10	Tnfrsf1b	4	-	ENSMUST00000030336.10		145246870	145213462	145246856	145213518
ENSMUSG00000028599.10	Tnfrsf1b	4	-	Longer Isoform				145246856	145212371
ENSMUSG00000026700.4	Tnfsf4	1	+	ENSMUST00000028024.4		161395408	161418410	161395452	161419386
ENSMUSG00000035678.7	Tnfsf9	17	+	ENSMUST00000039490.7		57105384	57107757	57105427	57107696
ENSMUSG00000020400.17	Tnip1	11	-	ENSMUST00000108886.7		54962916	54910786	54962924	54910793
ENSMUSG00000020400.17	Tnip1	11	-	ENSMUST00000018482.12		54962912	54910786	54962924	54910793
ENSMUSG00000020400.17	Tnip1	11	-	ENSMUST00000108889.9		54956122	54910784	54956076	54910793
ENSMUSG00000020400.17	Tnip1	11	-	ENSMUST00000102730.8	TRUE	54962910	54910786	54962924	54910793
